ID. Ils,IUPAC,FG,MW,Temperatura reducida,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,Tensión superficial
435,1-methylimidazolium bromide,C4H7BrN2,163.02,0.473752078,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748255013,347.57,479.2,726.7303211,51.6541402,0.297126846,0.408534354,66
435,1-methylimidazolium bromide,C4H7BrN2,163.02,0.477770075,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748255013,347.57,479.2,726.7303211,51.6541402,0.297126846,0.408534354,65.6
435,1-methylimidazolium bromide,C4H7BrN2,163.02,0.485764788,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748255013,347.57,479.2,726.7303211,51.6541402,0.297126846,0.408534354,64.6
435,1-methylimidazolium bromide,C4H7BrN2,163.02,0.493016446,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748255013,347.57,479.2,726.7303211,51.6541402,0.297126846,0.408534354,64.85
435,1-methylimidazolium bromide,C4H7BrN2,163.02,0.501767973,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748255013,347.57,479.2,726.7303211,51.6541402,0.297126846,0.408534354,64.42
436,1-methyl-3-propylimidazolium chloride,C7H13ClN2,160.65,0.400865649,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217179167,511.64,535.15,768.8610899,30.69021245,0.24563161,0.45292223,56.7
436,1-methyl-3-propylimidazolium chloride,C7H13ClN2,160.65,0.407186687,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217179167,511.64,535.15,768.8610899,30.69021245,0.24563161,0.45292223,56.5
436,1-methyl-3-propylimidazolium chloride,C7H13ClN2,160.65,0.414014969,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217179167,511.64,535.15,768.8610899,30.69021245,0.24563161,0.45292223,56.3
436,1-methyl-3-propylimidazolium chloride,C7H13ClN2,160.65,0.420804231,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217179167,511.64,535.15,768.8610899,30.69021245,0.24563161,0.45292223,55.9
436,1-methyl-3-propylimidazolium chloride,C7H13ClN2,160.65,0.427203307,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217179167,511.64,535.15,768.8610899,30.69021245,0.24563161,0.45292223,55.5
436,1-methyl-3-propylimidazolium chloride,C7H13ClN2,160.65,0.433758457,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217179167,511.64,535.15,768.8610899,30.69021245,0.24563161,0.45292223,55.4
